state_code,park_code,park_name
NM,safe,Santa Fe National Historic Trail
VA,shen,Shenandoah National Park
AK,sitk,Sitka National Historical Park
MI,slbe,Sleeping Bear Dunes National Lakeshore
NY,stli,Statue Of Liberty National Monument
NV,tusk,Tule Springs Fossil Beds National Monument
NM,vall,Valles Caldera National Preserve
NY,vama,Vanderbilt Mansion National Historic Site
TX,waco,Waco Mammoth National Monument
PA,waro,Washington-Rochambeau Revolutionary Route National Historic Trail
OK,waba,Washita Battlefield National Historic Site
DC,wwii,World War II Memorial
AK,ania,Aniakchak National Monument & Preserve
LA,attr,Atchafalaya National Heritage Area
NM,azru,Aztec Ruins National Monument
MD,bawa,Baltimore-Washington Parkway
NA,bicr,Birmingham Civil Rights National Monument
NC,blrn,Blue Ridge National Heritage Area
VA,bowa,Booker T Washington National Monument
MA,bost,Boston National Historical Park
FL,cana,Canaveral National Seashore
NC,caha,Cape Hatteras National Seashore
VA,cajo,Captain John Smith Chesapeake National Historic Trail
NM,cavo,Capulin Volcano National Monument
SC,cowp,Cowpens National Battlefield
ID,crmo,Craters Of The Moon National Monument & Preserve
PA,dewa,Delaware Water Gap National Recreation Area
AK,dena,Denali National Park & Preserve
NY,fiis,Fire Island National Seashore
AR,fosm,Fort Smith National Historic Site
SC,fosu,Fort Sumter and Fort Moultrie National Historical Park
MO,gwca,George Washington Carver National Monument
WY,grte,Grand Teton National Park
MD,gree,Greenbelt Park
FL,guis,Gulf Islands National Seashore
NE,home,Homestead National Monument of America
MA,jofi,John Fitzgerald Kennedy National Historic Site
ME,kaww,Katahdin Woods and Waters National Monument
AK,lacl,Lake Clark National Park & Preserve
VA,lyba,LBJ Memorial Grove on the Potomac
VA,mawa,Maggie L Walker National Historic Site
CO,mapr,Manhattan Project National Historical Park
SD,mimi,Minuteman Missile National Historic Site
AZ,moca,Montezuma Castle National Monument
NM,mopi,Mormon Pioneer National Historic Trail
CA,muwo,Muir Woods National Monument
AS,npsa,National Park of American Samoa
NY,nifa,Niagara Falls National Heritage Area
NM,oreg,Oregon National Historic Trail
TX,paal,Palo Alto Battlefield National Historical Park
CA,pore,Point Reyes National Seashore
AZ,sagu,Saguaro National Park
TN,shil,Shiloh National Military Park
PA,stea,Steamtown National Historic Site
PA,thko,Thaddeus Kosciuszko National Memorial
NJ,edis,Thomas Edison National Historical Park
MD,thst,Thomas Stone National Historic Site
AL,tuin,Tuskegee Institute National Historic Site
VI,vicr,Virgin Islands Coral Reef National Monument
MO,wicr,Wilson's Creek National Battlefield
SD,wica,Wind Cave National Park
NY,wori,Women's Rights National Historical Park
NY,afbg,African Burial Ground National Monument
TX,alfl,Alibates Flint Quarries National Monument
GA,ande,Andersonville National Historic Site
AR,arpo,Arkansas Post National Memorial
VA,arho,"Arlington House, The Robert E. Lee Memorial"
NC,calo,Cape Lookout National Seashore
UT,care,Capitol Reef National Park
DC,cawo,Carter G. Woodson Home National Historic Site
VT,chva,Champlain Valley National Heritage Partnership
GA,chat,Chattahoochee River National Recreation Area
VA,colo,Colonial National Historical Park
NM,elca,El Camino Real de Tierra Adentro National Historic Trail
NY,elro,Eleanor Roosevelt National Historic Site
MD,fofo,Fort Foote Park
KS,fosc,Fort Scott National Historic Site
DC,frde,Franklin Delano Roosevelt Memorial
MA,frla,Frederick Law Olmsted National Historic Site
IN,gero,George Rogers Clark National Historical Park
PA,gett,Gettysburg National Military Park
PA,glde,Gloria Dei Church National Historic Site
MN,grpo,Grand Portage National Monument
VA,grfa,Great Falls Park
VA,grsp,Green Springs
NY,hagr,Hamilton Grange National Memorial
HI,havo,Hawai'i Volcanoes National Park
AK,inup,I&#241;upiat Heritage Center
GA,jica,Jimmy Carter National Historic Site
OR,joda,John Day Fossil Beds National Monument
GA,kemo,Kennesaw Mountain National Battlefield Park
SC,kimo,Kings Mountain National Military Park
IN,libo,Lincoln Boyhood National Memorial
AL,liri,Little River Canyon National Preserve
MD,mono,Monocacy National Battlefield
MS,natr,Natchez Trace Parkway
UT,nabr,Natural Bridges National Monument
MA,nebe,New Bedford Whaling National Historical Park
TX,pais,Padre Island National Seashore
HI,valr,Pearl Harbor National Memorial
NM,poex,Pony Express National Historic Trail
IL,pull,Pullman National Monument
DC,rocr,Rock Creek Park
NH,saga,Saint-Gaudens National Historical Park
MA,sama,Salem Maritime National Historic Site
PR,saju,San Juan National Historic Site
CA,samo,Santa Monica Mountains National Recreation Area
NE,scbl,Scotts Bluff National Monument
NY,ston,Stonewall National Monument
NY,thco,Thomas Cole National Historic Site
DC,vive,Vietnam Veterans Memorial
OH,wiho,William Howard Taft National Historic Site
NE,agfo,Agate Fossil Beds National Monument
AK,anch,Alaska Public Lands
AK,aleu,Aleutian Islands World War II National Historic Area
MP,amme,American Memorial Park
TN,biso,Big South Fork National River & Recreation Area
TX,bith,Big Thicket National Preserve
WY,bica,Bighorn Canyon National Recreation Area
RI,blrv,Blackstone River Valley National Historical Park
VI,buis,Buck Island Reef National Monument
NM,cali,California National Historic Trail
FL,deso,De Soto National Memorial
PA,dele,Delaware & Lehigh National Heritage Corridor
PA,edal,Edgar Allan Poe National Historic Site
NY,feha,Federal Hall National Memorial
MD,fomc,Fort McHenry National Monument and Historic Shrine
WY,fobu,Fossil Butte National Monument
